olcut,fikir,beklenen,gerceklesen,gecti
K2 capraz ortusme,türkçe metin özetleyen ↔ wordpress için sepet e,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),diyabet hastaları için ↔ react için grafik kütü,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),diyabet hastaları için ↔ mobil bulmaca oyunu,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),diyabet hastaları için ↔ muhasebeciler için fat,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),diyabet hastaları için ↔ yerel esnaf için rande,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),diyabet hastaları için ↔ türkçe metin özetleyen,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),diyabet hastaları için ↔ wordpress için sepet e,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),react için grafik kütü ↔ mobil bulmaca oyunu,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),react için grafik kütü ↔ muhasebeciler için fat,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),react için grafik kütü ↔ yerel esnaf için rande,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),react için grafik kütü ↔ türkçe metin özetleyen,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),react için grafik kütü ↔ wordpress için sepet e,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),mobil bulmaca oyunu ↔ muhasebeciler için fat,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),mobil bulmaca oyunu ↔ yerel esnaf için rande,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),mobil bulmaca oyunu ↔ türkçe metin özetleyen,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),mobil bulmaca oyunu ↔ wordpress için sepet e,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),muhasebeciler için fat ↔ yerel esnaf için rande,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),muhasebeciler için fat ↔ türkçe metin özetleyen,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),muhasebeciler için fat ↔ wordpress için sepet e,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),yerel esnaf için rande ↔ türkçe metin özetleyen,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),yerel esnaf için rande ↔ wordpress için sepet e,<0.25,0.00,True
K2b katman haric ortusme (post-hoc),türkçe metin özetleyen ↔ wordpress için sepet e,<0.25,0.00,True
K3 kategoriye ozel kaynak,diyabet hastaları için mobil takip uygulaması,>0,1,True
K3 kategoriye ozel kaynak,react için grafik kütüphanesi,>0,1,True
K3 kategoriye ozel kaynak,mobil bulmaca oyunu,>0,1,True
K3 kategoriye ozel kaynak,muhasebeciler için fatura yazılımı,>0,4,True
K3 kategoriye ozel kaynak,yerel esnaf için randevu uygulaması,>0,1,True
K3 kategoriye ozel kaynak,türkçe metin özetleyen yapay zeka modeli,>0,1,True
K3 kategoriye ozel kaynak,wordpress için sepet eklentisi,>0,1,True
K5 anlamsiz fikir reddi,zzzz qqqq wwww,reddedilir,reddedildi,True
