hata_sinifi,document_id,ilgili_kayit,kaynak,bulgu,karar,gerekce,duzeltme
dedup-yanlis-birlesme,doc-6f5d3dd56462,doc-e7daaffe189a,Yandex Maps <-> Yandex,yandex.com / yandex.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-7791964a7388,doc-60e80b2ea5c6,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-cf9d6860d1e9,doc-aa414cf42a76,US Census Bureau <-> U.S. Census Building Permits,census.gov / census.gov,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-c459b7cfcae0,doc-9f387d9e7810,UK Financial Conduct Authority <-> Financial Conduct Authority,fca.org.uk / fca.org.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-e9ee0d17d4dd,doc-3d8e30f533f9,Slack Marketplace <-> Slack,slack.com / slack.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-a1e1d8574ea3,doc-f7002c0870f0,Slack Marketplace <-> Slack,slack.com / slack.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-a9dd29a3f551,doc-c72b43594418,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-fdf08c25ee82,doc-1bc87618d0d0,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-e73808d35813,doc-9d9cc76e37d1,Bing News <-> Bing Maps,bing.com / bing.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-d49bd080f6e0,doc-6831ca955803,Bing News <-> Bing Maps,bing.com / bing.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-42f8c1fd73ce,doc-7d74d5feb40f,UK Financial Conduct Authority <-> Financial Conduct Authority,fca.org.uk / fca.org.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-b75bedf93717,doc-ff7ecda596d6,UK Financial Conduct Authority <-> Financial Conduct Authority,fca.org.uk / fca.org.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-a2a48c72337a,doc-245760a50269,Safari Extensions <-> Apple App Store,apps.apple.com / apps.apple.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-94624c6b44a2,doc-019d0ec23ee0,FRED <-> Federal Reserve Economic Data,fred.stlouisfed.org / fred.stlouisfed.org,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-8990b48bd701,doc-ff914c29bac3,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-ec17c2914324,doc-d4710c307dbe,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-be989754498e,doc-5bdd23d25f7a,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-9f46b484554e,doc-d39a0c35423e,ThemeForest <-> Envato Market,themeforest.net / themeforest.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-091116dfa9fa,doc-2904ec61cc76,Competition and Markets Authority <-> Companies House,gov.uk / gov.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-6b9d4aac6a04,doc-67de9f093dfb,Lyssna <-> UsabilityHub,lyssna.com / lyssna.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-62443914df00,doc-2db4b205be03,Lyssna <-> UsabilityHub,lyssna.com / lyssna.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-8aa179a68b41,doc-d6ffa9908476,Lyssna <-> UsabilityHub,lyssna.com / lyssna.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-b3616f1cc5e0,doc-19338f2a3b87,Zapier <-> Zapier App Directory,zapier.com / zapier.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-18837117fe5f,doc-dc1d4e5011bd,Zapier <-> Zapier App Directory,zapier.com / zapier.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-2d0fd4369365,doc-39af50a4d9a2,Bing Webmaster Tools <-> Bing News,bing.com / bing.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-f7dafa7ca7f1,doc-9291066bee9f,Competition and Markets Authority <-> Companies House,gov.uk / gov.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-144ee3fbd835,doc-7a7c4ee875bd,ThemeForest <-> Envato Market,themeforest.net / themeforest.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-bd9a6e09bb4e,doc-faeb98f3a400,Etsy Reviews <-> Etsy,etsy.com / etsy.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-f4f82efbd239,doc-a664732ec757,Facebook Marketplace <-> Facebook,facebook.com / facebook.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-7e40151264e4,doc-a664732ec757,Facebook Pages <-> Facebook,facebook.com / facebook.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-556aa2629598,doc-bcff7ad791c6,FRED <-> Federal Reserve Economic Data,fred.stlouisfed.org / fred.stlouisfed.org,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-30ccef1dd4e2,doc-589b9da42cc5,UK Financial Conduct Authority <-> Financial Conduct Authority,fca.org.uk / fca.org.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-1400d65aa7cb,doc-a03395244a9d,G2 Education Software <-> G2,g2.com / g2.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-e06a47dee657,doc-a03395244a9d,G2 Track <-> G2,g2.com / g2.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-1af2d9ed044a,doc-7e3df8af4b3c,LinkedIn Jobs <-> LinkedIn Ad Library,linkedin.com / linkedin.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-78c4b499f76f,doc-ae16a060ace2,UsabilityHub <-> Lyssna,lyssna.com / lyssna.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-a5b070a37335,doc-4d51f4a2992b,OECD Health Statistics <-> OECD Education,data-explorer.oecd.org / data-explorer.oecd.org,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-dc7fb5fc93d4,doc-d435f4218281,T.C. Sağlık Bakanlığı <-> Sağlık Bakanlığı,saglik.gov.tr / saglik.gov.tr,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-301a1cfc708a,doc-d87b67b63071,U.S. Securities and Exchange Commission <-> SEC EDGAR,sec.gov / sec.gov,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-6f5d3dd56462,doc-e7daaffe189a,Yandex Maps <-> Yandex,yandex.com / yandex.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-b3616f1cc5e0,doc-0c0a507167e1,Zapier <-> Zapier App Directory,zapier.com / zapier.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-7791964a7388,doc-60e80b2ea5c6,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-cf9d6860d1e9,doc-e4e30ede2931,US Census Bureau <-> U.S. Census Building Permits,census.gov / census.gov,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-c459b7cfcae0,doc-9f387d9e7810,UK Financial Conduct Authority <-> Financial Conduct Authority,fca.org.uk / fca.org.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-e9ee0d17d4dd,doc-3d8e30f533f9,Slack Marketplace <-> Slack,slack.com / slack.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-a1e1d8574ea3,doc-f7002c0870f0,Slack Marketplace <-> Slack,slack.com / slack.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-a9dd29a3f551,doc-c72b43594418,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-fdf08c25ee82,doc-1bc87618d0d0,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-e73808d35813,doc-9d9cc76e37d1,Bing News <-> Bing Maps,bing.com / bing.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-d49bd080f6e0,doc-6831ca955803,Bing News <-> Bing Maps,bing.com / bing.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-42f8c1fd73ce,doc-7d74d5feb40f,UK Financial Conduct Authority <-> Financial Conduct Authority,fca.org.uk / fca.org.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-b75bedf93717,doc-ff7ecda596d6,UK Financial Conduct Authority <-> Financial Conduct Authority,fca.org.uk / fca.org.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-a2a48c72337a,doc-245760a50269,Safari Extensions <-> Apple App Store,apps.apple.com / apps.apple.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-94624c6b44a2,doc-019d0ec23ee0,FRED <-> Federal Reserve Economic Data,fred.stlouisfed.org / fred.stlouisfed.org,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-40b43fe59315,doc-65997616edf3,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-8990b48bd701,doc-ff914c29bac3,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-ec17c2914324,doc-d4710c307dbe,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-be989754498e,doc-5bdd23d25f7a,SourceForge Reviews <-> SourceForge,sourceforge.net / sourceforge.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-9f46b484554e,doc-d39a0c35423e,ThemeForest <-> Envato Market,themeforest.net / themeforest.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-091116dfa9fa,doc-2904ec61cc76,Competition and Markets Authority <-> Companies House,gov.uk / gov.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-6b9d4aac6a04,doc-67de9f093dfb,Lyssna <-> UsabilityHub,lyssna.com / lyssna.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-62443914df00,doc-2db4b205be03,Lyssna <-> UsabilityHub,lyssna.com / lyssna.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-8aa179a68b41,doc-d6ffa9908476,Lyssna <-> UsabilityHub,lyssna.com / lyssna.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-18837117fe5f,doc-dc1d4e5011bd,Zapier <-> Zapier App Directory,zapier.com / zapier.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-144ee3fbd835,doc-7a7c4ee875bd,ThemeForest <-> Envato Market,themeforest.net / themeforest.net,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
yanlis-eksik-alan,doc-ecaab644623a,,İşkur,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-844f47fa6780,,Azure Pricing Calculator,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-d4710c307dbe,,SourceForge,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-e50e2861d94f,,Homebrew Formulae,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-d8ac8391adcd,,Ahrefs,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-026c9777dced,,BigSpy,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-033393383aa1,,Dealroom,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-f8494181f70e,,PrivCo,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-4000838f2b95,,Ekonomim,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-cfb5c0ac39fc,,UserTesting,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-c6b39317cae3,,Sprig,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-3bc1dd539e43,,TÜBİTAK,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
yanlis-eksik-alan,doc-77c04b310125,,Armut,sayfada para ifadesi yok,sayfada gerçekten fiyat yok,fiyat yüzeyi ama sayfa fiyat yayımlamıyor,—
filtrede-kayip-kanit,doc-331b26cd14d4,,500 Global Companies,$2.3 · al | 500 Global We invest in the world's potential 500 Global is a VC ,gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-e42a7d9043d0,,Airbnb,"₺4,733 · r sign up Popular homes in Istanbul 0 of 0 items showing Guesthouse in",KAYIP KANIT,ilan/puan işaretinin yanında gerçek fiyat,ana sayfa filtresi ilan taşıyan sayfayı elememeli
filtrede-kayip-kanit,doc-71ab68710120,,Alibaba,"$1,000,000 · .header_Takepool"":""Pitch your startup to elite judges on a global stag",gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-3bf6ee8fa8c1,,Amazon,$50 · l delivery. Click here to go to amazon.com.tr Shop Fashion for less Je,gürültü,"yalın para ifadesi, bağlamı yok",—
filtrede-kayip-kanit,doc-28ab68be2d3d,,AngelList,"$500 · , distributions, tax, and reporting run on one platform — the same sys",gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-d1ed39bc00b3,,AppSumo,$39 · p Manifest V3 Chrome extensions from a plain-English prompt 3 reviews ,KAYIP KANIT,ilan/puan işaretinin yanında gerçek fiyat,ana sayfa filtresi ilan taşıyan sayfayı elememeli
filtrede-kayip-kanit,doc-1842436b8403,,AppSumo,"$79 · rs, covers, and KDP-ready exports from one AI workspace 119 reviews 11",KAYIP KANIT,ilan/puan işaretinin yanında gerçek fiyat,ana sayfa filtresi ilan taşıyan sayfayı elememeli
filtrede-kayip-kanit,doc-eca232816ec3,,Ars Technica,$2.1 · opters or bust for NASA’s Mars program NASA’s cost estimate for SR-1 F,gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-95e5d4ef57b5,,Axios,$1 · acker TOP STORIES MOST POPULAR Herb Scribner 1 hour ago - Politics & P,gürültü,"yalın para ifadesi, bağlamı yok",—
filtrede-kayip-kanit,doc-a67c025e8be1,,Bloomberg HT,"0,08 USD · 41,39 -38,50 -0,97 48,3176 0,09 56,1568 0,31 65,3003 0,24 1,1587 -0,01",gürültü,"yalın para ifadesi, bağlamı yok",—
filtrede-kayip-kanit,doc-07c2dee9042b,,BuiltWith,"$60,000 · kla Using BuiltWith's tools we've already won two clients who've spent",gürültü,"yalın para ifadesi, bağlamı yok",—
filtrede-kayip-kanit,doc-2682d44f32a5,,CDC,$2.7 · Sovereign CDC Progress Secured as Shareholders Double Down on Growth C,gürültü,"yalın para ifadesi, bağlamı yok",—
filtrede-kayip-kanit,doc-4f191d950382,,Censys,$70 · it. About Us Leadership Newsroom Our Customers Partners Careers - Cens,gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-9fe44b0bf7a0,,Class Central,$100 · ng Critical Thinking View all Personal Growth & Lifestyle The Report C,gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-b0740422a168,,CodeCanyon,$79 · AI-Powered No-Code Website Builder SaaS Platform by TitanSystems in PH,gürültü,"yalın para ifadesi, bağlamı yok",—
filtrede-kayip-kanit,doc-d86cbfe3b9fc,,Consumer Financial Protection Bureau,"$237 · conomic Advisers estimates that since 2011, the CFPB has cost consumer",gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-836398035d96,,Crunchbase,$113 · e Trial Talk to Sales Explore Our Data Live signals Onyx Security Fund,gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-ea64ed1a4f90,,Crunchbase News,"$1 · st half of this year, 58 venture-backed companies joined the public li",gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-ffd4c309a4e5,,DefiLlama,$85.066 · i OP Mainnet Cronos Stellar Anubis Provenance Others Total Value Locke,gürültü,"yalın para ifadesi, bağlamı yok",—
filtrede-kayip-kanit,doc-6a63f292b8fa,,Emlakjet,"₺ 35.000 · ı’nde Kıralık 2 + 1 Esenyurt, İstanbul 2+1 · 90 m² · 1. Kat · 21.08.20",gürültü,"yalın para ifadesi, bağlamı yok",—
filtrede-kayip-kanit,doc-7a7c4ee875bd,,Envato Market,$69 · red themes Trigger – AJAX Portfolio WordPress Theme by ArtemSemkin in ,gürültü,"yalın para ifadesi, bağlamı yok",—
filtrede-kayip-kanit,doc-89c49a37b76b,,EU-Startups,€2.6 · akes an exceptional founder.... Finland-Startups Finland’s S-Transisto,gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-ee3b29147a5f,,EU-Startups,€2.5 · er – CLUB – Register Now Log In CLUB Benefits Search UK startup Pharos,gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-8b26e285e6ae,,European Securities and Markets Authority,€1 · rypto-Assets Regulation (MiCA) on 1 July 2026. More about ESMA identif,gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
filtrede-kayip-kanit,doc-d399df9a7b5c,,Federal Reserve,$100 · Supervision Community Banks Regional Banks and Foreign Banks with U.S.,gürültü,"büyüklük ifadesi (milyar/fon/ödül), ürün fiyatı değil",—
