fikir,kategori,soru_id,yuva,kaynak,kaynak_grubu,pazar,yol,cekirdek_terim,grup_dili,niyet_eki,sorgu_metni,sorgu_turu,derlenmis_sorgu,derlenemedi_nedeni,yedekler
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,rakip-kim,2,Dealroom,"Şirket, yatırım ve startup verisi",TR,local_index,diyabet takip,startup,alternative,diyabet takip startup alternative,yerel-arama,diyabet takip startup alternative,,"CB Insights, PitchBook"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,rakip-kim,3,There's An AI For That,Ürün lansmanı ve startup toplulukları,TR,fulltext,diyabet takip,launch,alternative,diyabet takip launch alternative,yerel-arama,diyabet takip launch alternative,,"Futurepedia, Microlaunch"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,sikayet-ne,1,There's An AI For That,Ürün lansmanı ve startup toplulukları,TR,fulltext,diyabet takip,launch,problem,diyabet takip launch problem,yerel-arama,diyabet takip launch problem,,"Futurepedia, Microlaunch"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,sikayet-ne,2,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,diyabet takip,app,problem,diyabet takip app problem,uzak-url,https://play.google.com/store/search?q=diyabet+takip+app+problem&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,sikayet-ne,3,Lemmy,Sosyal ağlar ve açık topluluklar,TR,api,diyabet takip,alternative,problem,diyabet takip alternative problem,uzak-url,https://lemmy.ml/api/v3/site?q=diyabet+takip+alternative+problem,,"Hacker News, YouTube"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,talep-var-mi,1,Similarweb,"Trafik, SEO, anahtar kelime ve trend",TR,site_search,diyabet takip,keyword,,diyabet takip keyword,uzak-url,https://www.similarweb.com/search/?q=diyabet+takip+keyword,,"Ahrefs, SE Ranking"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,talep-var-mi,2,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,diyabet takip,app,,diyabet takip app,uzak-url,https://play.google.com/store/search?q=diyabet+takip+app&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,talep-var-mi,3,TÜİK,Kamu verisi ve istatistik,TR,site_search,diyabet takip,statistics,,diyabet takip statistics,uzak-url,https://www.tuik.gov.tr/search?q=diyabet+takip+statistics,,"US Census Bureau, IMF Data"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,talep-yonu,1,Similarweb,"Trafik, SEO, anahtar kelime ve trend",TR,site_search,diyabet takip,keyword,trend,diyabet takip keyword trend,uzak-url,https://www.similarweb.com/search/?q=diyabet+takip+keyword+trend,,"Ahrefs, SE Ranking"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,talep-yonu,2,Dimensions,Akademik araştırma ve bilimsel yayınlar,TR,local_index,diyabet takip,study,trend,diyabet takip study trend,yerel-arama,diyabet takip study trend,,"Web of Science, Lens.org"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,talep-yonu,3,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,diyabet takip,app,trend,diyabet takip app trend,uzak-url,https://play.google.com/store/search?q=diyabet+takip+app+trend&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,ulasilabilir-mi,1,Google Ads Transparency Center,Reklam kütüphaneleri ve pazarlama sinyalleri,TR,fulltext,diyabet takip,ad,community,diyabet takip ad community,yerel-arama,diyabet takip ad community,,"TikTok Creative Center, SocialPeta"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,ulasilabilir-mi,2,Lemmy,Sosyal ağlar ve açık topluluklar,TR,api,diyabet takip,alternative,community,diyabet takip alternative community,uzak-url,https://lemmy.ml/api/v3/site?q=diyabet+takip+alternative+community,,"Hacker News, YouTube"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,doygun-mu,1,CloudPrice,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları",TR,local_index,muhasebeciler fatura,pricing,,muhasebeciler fatura pricing,yerel-arama,muhasebeciler fatura pricing,,"Tropic, Capterra"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,doygun-mu,2,SoftwareSuggest,"SaaS, yazılım ve hizmet inceleme siteleri",TR,site_search,muhasebeciler fatura,software,,muhasebeciler fatura software,uzak-url,https://www.softwaresuggest.com/search/index?query=muhasebeciler+fatura+software,,"Capterra, Software Advice"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,doygun-mu,3,ThemeForest,Dijital ürün ve şablon pazar yerleri,TR,fulltext,muhasebeciler fatura,template,,muhasebeciler fatura template,yerel-arama,muhasebeciler fatura template,,"Envato Market, CodeCanyon"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,giris-engeli,1,Dimensions,Akademik araştırma ve bilimsel yayınlar,TR,local_index,muhasebeciler fatura,study,regulation,muhasebeciler fatura study regulation,yerel-arama,muhasebeciler fatura study regulation,,"Web of Science, Lens.org"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,giris-engeli,2,Investing.com,Finans ve fintech dikeyi,TR,site_search,muhasebeciler fatura,finance,regulation,muhasebeciler fatura finance regulation,uzak-url,https://www.investing.com/search?q={kelime}muhasebeciler+fatura+finance+regulation,,"Yahoo Finance, DefiLlama"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,giris-engeli,3,The Trademark Search Company,Patent ve marka,TR,local_index,muhasebeciler fatura,patent,regulation,muhasebeciler fatura patent regulation,yerel-arama,muhasebeciler fatura patent regulation,,"USPTO Trademark Search, Google Patents"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,odeme-istegi,1,CloudPrice,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları",TR,local_index,muhasebeciler fatura,pricing,pricing,muhasebeciler fatura pricing pricing,yerel-arama,muhasebeciler fatura pricing pricing,,"Tropic, Capterra"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,odeme-istegi,2,SoftwareSuggest,"SaaS, yazılım ve hizmet inceleme siteleri",TR,site_search,muhasebeciler fatura,software,pricing,muhasebeciler fatura software pricing,uzak-url,https://www.softwaresuggest.com/search/index?query=muhasebeciler+fatura+software+pricing,,"Capterra, Software Advice"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,odeme-istegi,3,ThemeForest,Dijital ürün ve şablon pazar yerleri,TR,fulltext,muhasebeciler fatura,template,pricing,muhasebeciler fatura template pricing,yerel-arama,muhasebeciler fatura template pricing,,"Envato Market, CodeCanyon"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,rakip-kim,1,Similarweb,"Domain, DNS, sertifika ve web footprint",TR,site_search,muhasebeciler fatura,domain,alternative,muhasebeciler fatura domain alternative,uzak-url,https://www.similarweb.com/search/?q=muhasebeciler+fatura+domain+alternative,,"Netcraft, WhoisXML API"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,rakip-kim,2,Dealroom,"Şirket, yatırım ve startup verisi",TR,local_index,muhasebeciler fatura,startup,alternative,muhasebeciler fatura startup alternative,yerel-arama,muhasebeciler fatura startup alternative,,"CB Insights, PitchBook"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,rakip-kim,3,There's An AI For That,Ürün lansmanı ve startup toplulukları,TR,fulltext,muhasebeciler fatura,launch,alternative,muhasebeciler fatura launch alternative,yerel-arama,muhasebeciler fatura launch alternative,,"Futurepedia, Microlaunch"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,sikayet-ne,1,There's An AI For That,Ürün lansmanı ve startup toplulukları,TR,fulltext,muhasebeciler fatura,launch,problem,muhasebeciler fatura launch problem,yerel-arama,muhasebeciler fatura launch problem,,"Futurepedia, Microlaunch"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,sikayet-ne,2,SoftwareSuggest,"SaaS, yazılım ve hizmet inceleme siteleri",TR,site_search,muhasebeciler fatura,software,problem,muhasebeciler fatura software problem,uzak-url,https://www.softwaresuggest.com/search/index?query=muhasebeciler+fatura+software+problem,,"Capterra, Software Advice"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,sikayet-ne,3,Lemmy,Sosyal ağlar ve açık topluluklar,TR,api,muhasebeciler fatura,alternative,problem,muhasebeciler fatura alternative problem,uzak-url,https://lemmy.ml/api/v3/site?q=muhasebeciler+fatura+alternative+problem,,"Hacker News, YouTube"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,talep-var-mi,1,Similarweb,"Trafik, SEO, anahtar kelime ve trend",TR,site_search,muhasebeciler fatura,keyword,,muhasebeciler fatura keyword,uzak-url,https://www.similarweb.com/search/?q=muhasebeciler+fatura+keyword,,"Ahrefs, SE Ranking"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,talep-var-mi,2,SoftwareSuggest,"SaaS, yazılım ve hizmet inceleme siteleri",TR,site_search,muhasebeciler fatura,software,,muhasebeciler fatura software,uzak-url,https://www.softwaresuggest.com/search/index?query=muhasebeciler+fatura+software,,"Capterra, Software Advice"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,talep-var-mi,3,Indeed,İş ilanları ve yetenek talebi,TR,fulltext,muhasebeciler fatura,specialist,,muhasebeciler fatura specialist,yerel-arama,muhasebeciler fatura specialist,,"Welcome to the Jungle, We Work Remotely"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,talep-yonu,1,Similarweb,"Trafik, SEO, anahtar kelime ve trend",TR,site_search,muhasebeciler fatura,keyword,trend,muhasebeciler fatura keyword trend,uzak-url,https://www.similarweb.com/search/?q=muhasebeciler+fatura+keyword+trend,,"Ahrefs, SE Ranking"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,talep-yonu,2,Dimensions,Akademik araştırma ve bilimsel yayınlar,TR,local_index,muhasebeciler fatura,study,trend,muhasebeciler fatura study trend,yerel-arama,muhasebeciler fatura study trend,,"Web of Science, Lens.org"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,talep-yonu,3,Wired,"Haber, basın ve sektör yayınları",TR,site_search,muhasebeciler fatura,funding,trend,muhasebeciler fatura funding trend,uzak-url,https://www.wired.com/search?q=muhasebeciler+fatura+funding+trend,,"The Verge, MIT Technology Review"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,ulasilabilir-mi,1,Google Ads Transparency Center,Reklam kütüphaneleri ve pazarlama sinyalleri,TR,fulltext,muhasebeciler fatura,ad,community,muhasebeciler fatura ad community,yerel-arama,muhasebeciler fatura ad community,,"TikTok Creative Center, SocialPeta"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,ulasilabilir-mi,2,SoftwareSuggest,"SaaS, yazılım ve hizmet inceleme siteleri",TR,site_search,muhasebeciler fatura,software,community,muhasebeciler fatura software community,uzak-url,https://www.softwaresuggest.com/search/index?query=muhasebeciler+fatura+software+community,,"Capterra, Software Advice"
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,ulasilabilir-mi,3,Indeed,İş ilanları ve yetenek talebi,TR,fulltext,muhasebeciler fatura,specialist,community,muhasebeciler fatura specialist community,yerel-arama,muhasebeciler fatura specialist community,,"Welcome to the Jungle, We Work Remotely"
yerel esnaf için randevu uygulaması,yerel-hizmet,cografi-yogunluk,1,Houzz,"Yerel işletme, harita ve hizmet dizinleri",TR,fulltext,yerel esnaf randevu,appointment,near me,yerel esnaf randevu appointment near me,yerel-arama,yerel esnaf randevu appointment near me,,"Booksy, TomTom"
yerel esnaf için randevu uygulaması,yerel-hizmet,doygun-mu,1,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,yerel esnaf randevu,app,,yerel esnaf randevu app,uzak-url,https://play.google.com/store/search?q=yerel+esnaf+randevu+app&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
yerel esnaf için randevu uygulaması,yerel-hizmet,doygun-mu,2,Houzz,"Yerel işletme, harita ve hizmet dizinleri",TR,fulltext,yerel esnaf randevu,appointment,,yerel esnaf randevu appointment,yerel-arama,yerel esnaf randevu appointment,,"Booksy, TomTom"
yerel esnaf için randevu uygulaması,yerel-hizmet,doygun-mu,3,ThemeForest,Dijital ürün ve şablon pazar yerleri,TR,fulltext,yerel esnaf randevu,template,,yerel esnaf randevu template,yerel-arama,yerel esnaf randevu template,,"Envato Market, CodeCanyon"
yerel esnaf için randevu uygulaması,yerel-hizmet,giris-engeli,1,Dimensions,Akademik araştırma ve bilimsel yayınlar,TR,local_index,yerel esnaf randevu,study,regulation,yerel esnaf randevu study regulation,yerel-arama,yerel esnaf randevu study regulation,,"Web of Science, Lens.org"
yerel esnaf için randevu uygulaması,yerel-hizmet,giris-engeli,2,The Trademark Search Company,Patent ve marka,TR,local_index,yerel esnaf randevu,patent,regulation,yerel esnaf randevu patent regulation,yerel-arama,yerel esnaf randevu patent regulation,,"USPTO Trademark Search, Google Patents"
yerel esnaf için randevu uygulaması,yerel-hizmet,kesfedilebilirlik,1,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,yerel esnaf randevu,app,ranking,yerel esnaf randevu app ranking,uzak-url,https://play.google.com/store/search?q=yerel+esnaf+randevu+app+ranking&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
yerel esnaf için randevu uygulaması,yerel-hizmet,odeme-istegi,1,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,yerel esnaf randevu,app,pricing,yerel esnaf randevu app pricing,uzak-url,https://play.google.com/store/search?q=yerel+esnaf+randevu+app+pricing&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
yerel esnaf için randevu uygulaması,yerel-hizmet,odeme-istegi,2,Houzz,"Yerel işletme, harita ve hizmet dizinleri",TR,fulltext,yerel esnaf randevu,appointment,pricing,yerel esnaf randevu appointment pricing,yerel-arama,yerel esnaf randevu appointment pricing,,"Booksy, TomTom"
yerel esnaf için randevu uygulaması,yerel-hizmet,odeme-istegi,3,ThemeForest,Dijital ürün ve şablon pazar yerleri,TR,fulltext,yerel esnaf randevu,template,pricing,yerel esnaf randevu template pricing,yerel-arama,yerel esnaf randevu template pricing,,"Envato Market, CodeCanyon"
yerel esnaf için randevu uygulaması,yerel-hizmet,platform-politikasi,1,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,yerel esnaf randevu,app,policy,yerel esnaf randevu app policy,uzak-url,https://play.google.com/store/search?q=yerel+esnaf+randevu+app+policy&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
yerel esnaf için randevu uygulaması,yerel-hizmet,rakip-kim,1,Similarweb,"Domain, DNS, sertifika ve web footprint",TR,site_search,yerel esnaf randevu,domain,alternative,yerel esnaf randevu domain alternative,uzak-url,https://www.similarweb.com/search/?q=yerel+esnaf+randevu+domain+alternative,,"Netcraft, WhoisXML API"
yerel esnaf için randevu uygulaması,yerel-hizmet,rakip-kim,2,Dealroom,"Şirket, yatırım ve startup verisi",TR,local_index,yerel esnaf randevu,startup,alternative,yerel esnaf randevu startup alternative,yerel-arama,yerel esnaf randevu startup alternative,,"CB Insights, PitchBook"
yerel esnaf için randevu uygulaması,yerel-hizmet,rakip-kim,3,There's An AI For That,Ürün lansmanı ve startup toplulukları,TR,fulltext,yerel esnaf randevu,launch,alternative,yerel esnaf randevu launch alternative,yerel-arama,yerel esnaf randevu launch alternative,,"Futurepedia, Microlaunch"
yerel esnaf için randevu uygulaması,yerel-hizmet,sikayet-ne,1,There's An AI For That,Ürün lansmanı ve startup toplulukları,TR,fulltext,yerel esnaf randevu,launch,problem,yerel esnaf randevu launch problem,yerel-arama,yerel esnaf randevu launch problem,,"Futurepedia, Microlaunch"
yerel esnaf için randevu uygulaması,yerel-hizmet,sikayet-ne,2,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,yerel esnaf randevu,app,problem,yerel esnaf randevu app problem,uzak-url,https://play.google.com/store/search?q=yerel+esnaf+randevu+app+problem&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
yerel esnaf için randevu uygulaması,yerel-hizmet,sikayet-ne,3,Lemmy,Sosyal ağlar ve açık topluluklar,TR,api,yerel esnaf randevu,alternative,problem,yerel esnaf randevu alternative problem,uzak-url,https://lemmy.ml/api/v3/site?q=yerel+esnaf+randevu+alternative+problem,,"Hacker News, YouTube"
yerel esnaf için randevu uygulaması,yerel-hizmet,talep-var-mi,1,Similarweb,"Trafik, SEO, anahtar kelime ve trend",TR,site_search,yerel esnaf randevu,keyword,,yerel esnaf randevu keyword,uzak-url,https://www.similarweb.com/search/?q=yerel+esnaf+randevu+keyword,,"Ahrefs, SE Ranking"
yerel esnaf için randevu uygulaması,yerel-hizmet,talep-var-mi,2,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,yerel esnaf randevu,app,,yerel esnaf randevu app,uzak-url,https://play.google.com/store/search?q=yerel+esnaf+randevu+app&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
yerel esnaf için randevu uygulaması,yerel-hizmet,talep-var-mi,3,TÜİK,Kamu verisi ve istatistik,TR,site_search,yerel esnaf randevu,statistics,,yerel esnaf randevu statistics,uzak-url,https://www.tuik.gov.tr/search?q=yerel+esnaf+randevu+statistics,,"US Census Bureau, IMF Data"
yerel esnaf için randevu uygulaması,yerel-hizmet,talep-yonu,1,Similarweb,"Trafik, SEO, anahtar kelime ve trend",TR,site_search,yerel esnaf randevu,keyword,trend,yerel esnaf randevu keyword trend,uzak-url,https://www.similarweb.com/search/?q=yerel+esnaf+randevu+keyword+trend,,"Ahrefs, SE Ranking"
yerel esnaf için randevu uygulaması,yerel-hizmet,talep-yonu,2,Dimensions,Akademik araştırma ve bilimsel yayınlar,TR,local_index,yerel esnaf randevu,study,trend,yerel esnaf randevu study trend,yerel-arama,yerel esnaf randevu study trend,,"Web of Science, Lens.org"
yerel esnaf için randevu uygulaması,yerel-hizmet,talep-yonu,3,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,yerel esnaf randevu,app,trend,yerel esnaf randevu app trend,uzak-url,https://play.google.com/store/search?q=yerel+esnaf+randevu+app+trend&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
yerel esnaf için randevu uygulaması,yerel-hizmet,ulasilabilir-mi,1,Google Ads Transparency Center,Reklam kütüphaneleri ve pazarlama sinyalleri,TR,fulltext,yerel esnaf randevu,ad,community,yerel esnaf randevu ad community,yerel-arama,yerel esnaf randevu ad community,,"TikTok Creative Center, SocialPeta"
yerel esnaf için randevu uygulaması,yerel-hizmet,ulasilabilir-mi,2,Lemmy,Sosyal ağlar ve açık topluluklar,TR,api,yerel esnaf randevu,alternative,community,yerel esnaf randevu alternative community,uzak-url,https://lemmy.ml/api/v3/site?q=yerel+esnaf+randevu+alternative+community,,"Hacker News, YouTube"
