source_id,ad,niyet,url,origin,entry_path,sonuc,sebep,sha256,mime,bayt
source-0609,Vertice,observed_market_pricing,https://www.vertice.one/pricing,https://www.vertice.one,/pricing,ok,ok,a389a5127d2e9c96a50e0c8bdc4600663d963268d7d53c8a747223c19d9c1c3f,text/html,172371
source-0609,Vertice,problem_demand,https://www.vertice.one/community,https://www.vertice.one,/community,ok,ok,83a2970cbf07c5a900c0351414bc66432191ec988d626be953124ee236f772a8,text/html,260515
source-0609,Vertice,use_case,https://www.vertice.one/solutions/cloud-cost-management-software,https://www.vertice.one,/solutions/cloud-cost-management-software,ok,ok,8b6170307997c203daa738c5443a21be596d1689e204f08b79199a1ac6c5cf6b,text/html,189467
source-0117,Wix App Market,competitor_discovery,https://www.wix.com/marketplace,https://www.wix.com,/marketplace,challenge,challenge,66e06cd4b43034b178dc66d4fcba6847a84eae36f684cb7d1e3c2ed443e47018,text/html,803324
source-0117,Wix App Market,dissatisfaction,https://www.wix.com/app-market/reviews,https://www.wix.com,/app-market/reviews,challenge,origin_circuit_open,,,0
source-0117,Wix App Market,existing_alternatives,https://www.wix.com/compare/hub/bigcommerce,https://www.wix.com,/compare/hub/bigcommerce,challenge,origin_circuit_open,,,0
source-0117,Wix App Market,observed_market_pricing,https://www.wix.com/plans,https://www.wix.com,/plans,challenge,origin_circuit_open,,,0
source-0117,Wix App Market,problem_demand,https://www.wix.com/app-market/forum,https://www.wix.com,/app-market/forum,challenge,origin_circuit_open,,,0
source-0117,Wix App Market,use_case,https://www.wix.com/business/solutions/bio-website,https://www.wix.com,/business/solutions/bio-website,challenge,origin_circuit_open,,,0
source-0597,Wynter,dissatisfaction,https://wynter.com/solutions/reviews,https://wynter.com,/solutions/reviews,ok,ok,c755980725f7aa2afc2235c91203ae47287dc5015c6cd7c69aa219ba2e62e1dd,text/html,56958
source-0597,Wynter,existing_alternatives,https://wynter.com/compare,https://wynter.com,/compare,ok,ok,92593e8b568ba60d3251c3308467c707779f5e7bed068d77f2b43364002c72c8,text/html,20937
source-0597,Wynter,observed_market_pricing,https://wynter.com/pricing,https://wynter.com,/pricing,ok,ok,96e68f5692ed10fa26171d3322b00241dea20a9fec426eb7124e5bf7760c16a6,text/html,52824
source-0597,Wynter,use_case,https://wynter.com/case-studies,https://wynter.com,/case-studies,ok,ok,68835a46634398d3bbb61bc5c95c2d2aabe015deee28b7443b3d36ab6b500b62,text/html,34578
source-0130,Zapier App Directory,competitor_discovery,https://zapier.com/apps/categories/accounting,https://zapier.com,/apps/categories/accounting,ok,ok,d38dece3f02461fc2d9ce4ae66d7f2f36796d6a49728c474d70bb2e02761e16d,text/html,372970
source-0130,Zapier App Directory,dissatisfaction,https://zapier.com/apps/categories/reviews,https://zapier.com,/apps/categories/reviews,ok,ok,4d5753fbf13a2a30e2c2d525e971395b473bb8c2aa88eb4d5f2e6e0a083ef6bb,text/html,364630
source-0130,Zapier App Directory,observed_market_pricing,https://zapier.com/pricing,https://zapier.com,/pricing,ok,ok,c4563faeb3b0be84339b0ace9164158c26d9d1756706838e833fb03fef36d0ec,text/html,2285609
source-0130,Zapier App Directory,use_case,https://zapier.com/solutions/customer-support,https://zapier.com,/solutions/customer-support,ok,ok,9880719ea0435f24b1a1eeb2b5db8cb54c03b3f3af3c711cdd0215494af814a6,text/html,414888
